card_id,collector_number,card_name,finish,pokemon_tcg_api_card_id,pokemon_tcg_api_variant,api_low,api_market,api_mid,api_high,api_updated_at,tcgdex_card_id,tcgdex_variant,tcgdex_low,tcgdex_market,tcgdex_updated_at,comparison_status,difference_low,difference_market,identity_status,finish_status,eligible,reason
25206,022,Fearow,normal,sv3pt5-22,normal,0.01,0.18,0.19,20.0,2026/09/01,sv03.5-022,normal,0.01,0.18,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25207,022,Fearow,reverse_holo,sv3pt5-22,reverseHolofoil,0.08,0.2,0.25,5.0,2026/09/01,sv03.5-022,reverse-holofoil,0.08,0.2,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25208,023,Ekans,normal,sv3pt5-23,normal,0.01,0.14,0.19,18.34,2026/09/01,sv03.5-023,normal,0.01,0.14,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25209,023,Ekans,reverse_holo,sv3pt5-23,reverseHolofoil,0.04,0.32,0.3,17.74,2026/09/01,sv03.5-023,reverse-holofoil,0.04,0.32,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25210,024,Arbok ex,holo,sv3pt5-24,holofoil,0.57,1.9,1.81,22.0,2026/09/01,sv03.5-024,holofoil,0.57,1.88,2026-09-01T12:00:20.170Z,MINOR_DIFFERENCE,0.0,0.010526315789473694,EXACT,EXACT,True,price discrepancy is diagnostic only; API remains authority
25211,025,Pikachu,normal,sv3pt5-25,normal,0.01,0.29,0.29,19.98,2026/09/01,sv03.5-025,normal,0.01,0.28,2026-09-01T12:00:20.170Z,MINOR_DIFFERENCE,0.0,0.034482758620689495,EXACT,EXACT,True,price discrepancy is diagnostic only; API remains authority
25212,025,Pikachu,reverse_holo,sv3pt5-25,reverseHolofoil,0.2,1.27,1.02,75.0,2026/09/01,sv03.5-025,reverse-holofoil,0.2,1.29,2026-09-01T12:00:20.170Z,MINOR_DIFFERENCE,0.0,0.015503875968992262,EXACT,EXACT,True,price discrepancy is diagnostic only; API remains authority
25213,026,Raichu,holo,sv3pt5-26,holofoil,0.08,0.28,0.32,19.54,2026/09/01,sv03.5-026,holofoil,0.08,0.28,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25214,026,Raichu,reverse_holo,sv3pt5-26,reverseHolofoil,0.48,1.39,1.5,18.14,2026/09/01,sv03.5-026,reverse-holofoil,0.48,1.39,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25215,027,Sandshrew,normal,sv3pt5-27,normal,0.01,0.15,0.19,20.0,2026/09/01,sv03.5-027,normal,0.01,0.15,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25216,027,Sandshrew,reverse_holo,sv3pt5-27,reverseHolofoil,0.1,0.27,0.27,19.06,2026/09/01,sv03.5-027,reverse-holofoil,0.1,0.27,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25217,028,Sandslash,normal,sv3pt5-28,normal,0.01,0.2,0.2,19.96,2026/09/01,sv03.5-028,normal,0.01,0.2,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25218,028,Sandslash,reverse_holo,sv3pt5-28,reverseHolofoil,0.05,0.28,0.29,990.0,2026/09/01,sv03.5-028,reverse-holofoil,0.05,0.28,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25219,029,Nidoran♀,normal,sv3pt5-29,normal,0.05,0.29,0.26,19.98,2026/09/01,sv03.5-029,normal,0.05,0.29,2026-09-01T12:00:20.170Z,IDENTITY_CONFLICT,0.0,0.0,CONFLICT,EXACT,False,Pokémon TCG API identity: name 'Nidoran ♀' != 'Nidoran♀'
25220,029,Nidoran♀,reverse_holo,sv3pt5-29,reverseHolofoil,1.0,1.67,1.91,40.0,2026/09/01,sv03.5-029,reverse-holofoil,1.0,1.67,2026-09-01T12:00:20.170Z,IDENTITY_CONFLICT,0.0,0.0,CONFLICT,EXACT,False,Pokémon TCG API identity: name 'Nidoran ♀' != 'Nidoran♀'
25221,030,Nidorina,normal,sv3pt5-30,normal,0.01,0.2,0.2,19.06,2026/09/01,sv03.5-030,normal,0.01,0.2,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25222,030,Nidorina,reverse_holo,sv3pt5-30,reverseHolofoil,0.1,0.31,0.3,990.0,2026/09/01,sv03.5-030,reverse-holofoil,0.1,0.31,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25223,031,Nidoqueen,normal,sv3pt5-31,normal,0.01,0.17,0.2,19.98,2026/09/01,sv03.5-031,normal,0.01,0.17,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25224,031,Nidoqueen,reverse_holo,sv3pt5-31,reverseHolofoil,0.05,0.31,0.31,19.64,2026/09/01,sv03.5-031,reverse-holofoil,0.05,0.31,2026-09-01T12:00:20.170Z,MATCH,0.0,0.0,EXACT,EXACT,True,exact identity and finish
25225,032,Nidoran♂,normal,sv3pt5-32,normal,0.06,0.23,0.25,20.0,2026/09/01,sv03.5-032,normal,0.06,0.23,2026-09-01T12:00:20.170Z,IDENTITY_CONFLICT,0.0,0.0,CONFLICT,EXACT,False,Pokémon TCG API identity: name 'Nidoran ♂' != 'Nidoran♂'
25226,032,Nidoran♂,reverse_holo,sv3pt5-32,reverseHolofoil,1.25,3.0,3.04,7.24,2026/09/01,sv03.5-032,reverse-holofoil,1.25,3.0,2026-09-01T12:00:20.170Z,IDENTITY_CONFLICT,0.0,0.0,CONFLICT,EXACT,False,Pokémon TCG API identity: name 'Nidoran ♂' != 'Nidoran♂'
