card_id,collector_number,card_name,finish,source_provider,market,source_variant,low,mid,high,market_price,direct_low,currency,source_updated_at,observed_at,snapshot_key,pricing_status,pricing_eligible,would_insert,would_update,reason
25195,016,Pidgey,reverse_holo,pokemon_tcg_api,0.29,reverseHolofoil,0.07,0.31,19.52,0.29,0.3,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25196,017,Pidgeotto,normal,pokemon_tcg_api,0.35,normal,0.1,0.33,19.98,0.35,0.23,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25197,017,Pidgeotto,reverse_holo,pokemon_tcg_api,2.9,reverseHolofoil,0.94,2.82,14.66,2.9,4.32,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25198,018,Pidgeot,normal,pokemon_tcg_api,0.19,normal,0.01,0.2,19.98,0.19,0.01,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MINOR_DIFFERENCE,True,False,False,price discrepancy is diagnostic only; API remains authority
25199,018,Pidgeot,reverse_holo,pokemon_tcg_api,0.27,reverseHolofoil,0.09,0.3,17.76,0.27,0.27,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25200,019,Rattata,normal,pokemon_tcg_api,0.13,normal,0.01,0.15,19.98,0.13,0.01,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25201,019,Rattata,reverse_holo,pokemon_tcg_api,0.26,reverseHolofoil,0.07,0.28,15.24,0.26,0.19,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25202,020,Raticate,normal,pokemon_tcg_api,0.17,normal,0.01,0.2,19.98,0.17,0.01,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25203,020,Raticate,reverse_holo,pokemon_tcg_api,0.26,reverseHolofoil,0.06,0.27,5.0,0.26,0.2,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
25204,021,Spearow,normal,pokemon_tcg_api,0.14,normal,0.01,0.17,25.0,0.14,0.05,USD,2026/09/01,2026-09-01T13:02:34+00:00,3d2c8831361ecafe7cd2815caa1ed6ef4ff66fbcb917b7d4f0e06ecff2c9e4f2,MATCH,True,False,False,exact identity and finish
