idProduct,candidate_collector_number,card_name,rarity,image,artist,tcgdex_id,pokemon_tcg_api_id,name_match,rarity_match,image_evidence,structured_id_evidence,cardmarket_version_evidence,evidence_score,confidence,notes
719648,151,Mew ex,,https://assets.tcgdex.net/en/sv/sv03.5/151,aky CG Works,sv03.5-151,sv3pt5-151,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421230,4,WEAK,Diagnostic ranking only; manual approval required.
719648,193,Mew ex,,https://assets.tcgdex.net/en/sv/sv03.5/193,aky CG Works,sv03.5-193,sv3pt5-193,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421230,4,WEAK,Diagnostic ranking only; manual approval required.
719648,205,Mew ex,,https://assets.tcgdex.net/en/sv/sv03.5/205,aky CG Works,sv03.5-205,sv3pt5-205,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421230,4,WEAK,Diagnostic ranking only; manual approval required.
719649,160,Erika’s Invitation,,https://assets.tcgdex.net/en/sv/sv03.5/160,saino misaki,sv03.5-160,sv3pt5-160,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421239,3,WEAK,Diagnostic ranking only; manual approval required.
719649,196,Erika’s Invitation,,https://assets.tcgdex.net/en/sv/sv03.5/196,saino misaki,sv03.5-196,sv3pt5-196,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421239,3,WEAK,Diagnostic ranking only; manual approval required.
719649,203,Erika’s Invitation,,https://assets.tcgdex.net/en/sv/sv03.5/203,Cona Nitanda,sv03.5-203,sv3pt5-203,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421239,3,WEAK,Diagnostic ranking only; manual approval required.
719650,161,Giovanni’s Charisma,,https://assets.tcgdex.net/en/sv/sv03.5/161,hncl,sv03.5-161,sv3pt5-161,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421240,3,WEAK,Diagnostic ranking only; manual approval required.
719650,197,Giovanni’s Charisma,,https://assets.tcgdex.net/en/sv/sv03.5/197,hncl,sv03.5-197,sv3pt5-197,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421240,3,WEAK,Diagnostic ranking only; manual approval required.
719650,204,Giovanni’s Charisma,,https://assets.tcgdex.net/en/sv/sv03.5/204,Hideki Ishikawa,sv03.5-204,sv3pt5-204,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421240,3,WEAK,Diagnostic ranking only; manual approval required.
719651,158,Daisy’s Help,,https://assets.tcgdex.net/en/sv/sv03.5/158,Tomomi Kaneko,sv03.5-158,sv3pt5-158,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421241,3,WEAK,Diagnostic ranking only; manual approval required.
719651,195,Daisy’s Help,,https://assets.tcgdex.net/en/sv/sv03.5/195,Fumie Kittaka,sv03.5-195,sv3pt5-195,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421241,3,WEAK,Diagnostic ranking only; manual approval required.
719652,156,Bill’s Transfer,,https://assets.tcgdex.net/en/sv/sv03.5/156,GIDORA,sv03.5-156,sv3pt5-156,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421242,3,WEAK,Diagnostic ranking only; manual approval required.
719652,194,Bill’s Transfer,,https://assets.tcgdex.net/en/sv/sv03.5/194,GIDORA,sv03.5-194,sv3pt5-194,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421242,3,WEAK,Diagnostic ranking only; manual approval required.
719653,003,Venusaur ex,,https://assets.tcgdex.net/en/sv/sv03.5/003,5ban Graphics,sv03.5-003,sv3pt5-3,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421082,4,WEAK,Diagnostic ranking only; manual approval required.
719653,182,Venusaur ex,,https://assets.tcgdex.net/en/sv/sv03.5/182,PLANETA Yamashita,sv03.5-182,sv3pt5-182,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421082,4,WEAK,Diagnostic ranking only; manual approval required.
719653,198,Venusaur ex,,https://assets.tcgdex.net/en/sv/sv03.5/198,Yoriyuki Ikegami,sv03.5-198,sv3pt5-198,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421082,4,WEAK,Diagnostic ranking only; manual approval required.
719654,006,Charizard ex,,https://assets.tcgdex.net/en/sv/sv03.5/006,PLANETA Mochizuki,sv03.5-006,sv3pt5-6,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421085,4,WEAK,Diagnostic ranking only; manual approval required.
719654,183,Charizard ex,,https://assets.tcgdex.net/en/sv/sv03.5/183,PLANETA Mochizuki,sv03.5-183,sv3pt5-183,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421085,4,WEAK,Diagnostic ranking only; manual approval required.
719654,199,Charizard ex,,https://assets.tcgdex.net/en/sv/sv03.5/199,miki kudo,sv03.5-199,sv3pt5-199,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421085,4,WEAK,Diagnostic ranking only; manual approval required.
719655,009,Blastoise ex,,https://assets.tcgdex.net/en/sv/sv03.5/009,PLANETA Yamashita,sv03.5-009,sv3pt5-9,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421088,4,WEAK,Diagnostic ranking only; manual approval required.
719655,184,Blastoise ex,,https://assets.tcgdex.net/en/sv/sv03.5/184,PLANETA Yamashita,sv03.5-184,sv3pt5-184,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421088,4,WEAK,Diagnostic ranking only; manual approval required.
719655,200,Blastoise ex,,https://assets.tcgdex.net/en/sv/sv03.5/200,Mitsuhiro Arita,sv03.5-200,sv3pt5-200,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421088,4,WEAK,Diagnostic ranking only; manual approval required.
719656,065,Alakazam ex,,https://assets.tcgdex.net/en/sv/sv03.5/065,Mitsuhiro Arita,sv03.5-065,sv3pt5-65,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421144,4,WEAK,Diagnostic ranking only; manual approval required.
719656,188,Alakazam ex,,https://assets.tcgdex.net/en/sv/sv03.5/188,PLANETA Tsuji,sv03.5-188,sv3pt5-188,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421144,4,WEAK,Diagnostic ranking only; manual approval required.
719656,201,Alakazam ex,,https://assets.tcgdex.net/en/sv/sv03.5/201,Shinya Komatsu,sv03.5-201,sv3pt5-201,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421144,4,WEAK,Diagnostic ranking only; manual approval required.
719657,145,Zapdos ex,,https://assets.tcgdex.net/en/sv/sv03.5/145,takuyoa,sv03.5-145,sv3pt5-145,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421224,4,WEAK,Diagnostic ranking only; manual approval required.
719657,192,Zapdos ex,,https://assets.tcgdex.net/en/sv/sv03.5/192,takuyoa,sv03.5-192,sv3pt5-192,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421224,4,WEAK,Diagnostic ranking only; manual approval required.
719657,202,Zapdos ex,,https://assets.tcgdex.net/en/sv/sv03.5/202,Shiburingaru,sv03.5-202,sv3pt5-202,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421224,4,WEAK,Diagnostic ranking only; manual approval required.
719658,151,Mew ex,,https://assets.tcgdex.net/en/sv/sv03.5/151,aky CG Works,sv03.5-151,sv3pt5-151,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421230,4,WEAK,Diagnostic ranking only; manual approval required.
719658,193,Mew ex,,https://assets.tcgdex.net/en/sv/sv03.5/193,aky CG Works,sv03.5-193,sv3pt5-193,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421230,4,WEAK,Diagnostic ranking only; manual approval required.
719658,205,Mew ex,,https://assets.tcgdex.net/en/sv/sv03.5/205,aky CG Works,sv03.5-205,sv3pt5-205,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421230,4,WEAK,Diagnostic ranking only; manual approval required.
719659,160,Erika’s Invitation,,https://assets.tcgdex.net/en/sv/sv03.5/160,saino misaki,sv03.5-160,sv3pt5-160,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421239,3,WEAK,Diagnostic ranking only; manual approval required.
719659,196,Erika’s Invitation,,https://assets.tcgdex.net/en/sv/sv03.5/196,saino misaki,sv03.5-196,sv3pt5-196,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421239,3,WEAK,Diagnostic ranking only; manual approval required.
719659,203,Erika’s Invitation,,https://assets.tcgdex.net/en/sv/sv03.5/203,Cona Nitanda,sv03.5-203,sv3pt5-203,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421239,3,WEAK,Diagnostic ranking only; manual approval required.
719660,161,Giovanni’s Charisma,,https://assets.tcgdex.net/en/sv/sv03.5/161,hncl,sv03.5-161,sv3pt5-161,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421240,3,WEAK,Diagnostic ranking only; manual approval required.
719660,197,Giovanni’s Charisma,,https://assets.tcgdex.net/en/sv/sv03.5/197,hncl,sv03.5-197,sv3pt5-197,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421240,3,WEAK,Diagnostic ranking only; manual approval required.
719660,204,Giovanni’s Charisma,,https://assets.tcgdex.net/en/sv/sv03.5/204,Hideki Ishikawa,sv03.5-204,sv3pt5-204,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421240,3,WEAK,Diagnostic ranking only; manual approval required.
719661,151,Mew ex,,https://assets.tcgdex.net/en/sv/sv03.5/151,aky CG Works,sv03.5-151,sv3pt5-151,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421230,4,WEAK,Diagnostic ranking only; manual approval required.
719661,193,Mew ex,,https://assets.tcgdex.net/en/sv/sv03.5/193,aky CG Works,sv03.5-193,sv3pt5-193,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421230,4,WEAK,Diagnostic ranking only; manual approval required.
719661,205,Mew ex,,https://assets.tcgdex.net/en/sv/sv03.5/205,aky CG Works,sv03.5-205,sv3pt5-205,True,not_available,exact_internal_tcgdex_image,tcgdex_and_api_metadata,idExpansion=5328; idMetacard=421230,4,WEAK,Diagnostic ranking only; manual approval required.
