set,collector_number,language,treatment,object_type,name,scryfall_id,layout,type_line,frame_effects,promo_types,source_finish_options,finish,physical_pairing,finish_detail
HOB,21,English,Default,card,Moment of Glory,0a6a6ff0-b1cd-4b06-bd31-612690094e0e,normal,Sorcery,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,21,English,Default,card,Moment of Glory,0a6a6ff0-b1cd-4b06-bd31-612690094e0e,normal,Sorcery,,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,22,English,Default,card,The Mountain-king's Return,68f4893d-e9a5-4f89-ade3-9ab78a834ad5,saga,Enchantment — Saga,enchantment,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,22,English,Default,card,The Mountain-king's Return,68f4893d-e9a5-4f89-ade3-9ab78a834ad5,saga,Enchantment — Saga,enchantment,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,23,English,Default,card,"Ori, Keeper of Songs",c5727af5-a487-4b16-8278-81c3c928c417,normal,Legendary Creature — Dwarf Bard,legendary,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,23,English,Default,card,"Ori, Keeper of Songs",c5727af5-a487-4b16-8278-81c3c928c417,normal,Legendary Creature — Dwarf Bard,legendary,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,24,English,Default,card,The Queen of Dale,c977fb5f-4436-41d0-af68-93b6d05897e5,normal,Legendary Creature — Human Noble,legendary,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,24,English,Default,card,The Queen of Dale,c977fb5f-4436-41d0-af68-93b6d05897e5,normal,Legendary Creature — Human Noble,legendary,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,25,English,Default,card,"Roads Go Ever, Ever On",b3c1ebd6-967f-4b8c-8f1f-442ce8c1da24,saga,Enchantment — Saga,enchantment,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,25,English,Default,card,"Roads Go Ever, Ever On",b3c1ebd6-967f-4b8c-8f1f-442ce8c1da24,saga,Enchantment — Saga,enchantment,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,26,English,Default,card,Settle the Wreckage,31a7a5e2-4cb8-48fc-8351-18344b4a7560,normal,Instant,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,26,English,Default,card,Settle the Wreckage,31a7a5e2-4cb8-48fc-8351-18344b4a7560,normal,Instant,,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,27,English,Default,card,Stone by Sunlight,c5752731-253c-4b41-bdd8-94c26d715206,normal,Instant,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
