idProduct,idMetacard,product_name,candidate_collector_number_1,candidate_card_1,candidate_finish_scope_1,candidate_collector_number_2,candidate_card_2,candidate_finish_scope_2,candidate_collector_number_3,candidate_card_3,candidate_finish_scope_3,reason,missing_evidence,recommended_review,approved
719598,421224,Zapdos ex [Voltaic Float | Multishot Lightning],145,Zapdos ex,holo,192,Zapdos ex,holo,202,Zapdos ex,holo,name_signature=zapdos ex; attack_signature=voltaic float | multishot lightning; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719601,421227,Dragonair [Beat | Aqua Slash],148,Dragonair,"normal,reverse_holo",181,Dragonair,holo,,,,name_signature=dragonair; attack_signature=beat | aqua slash; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719604,421230,Mew ex [Restart | Genome Hacking],151,Mew ex,holo,193,Mew ex,holo,205,Mew ex,holo,name_signature=mew ex; attack_signature=restart | genome hacking; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719614,421239,Erika's Invitation,160,Erika’s Invitation,"normal,reverse_holo",196,Erika’s Invitation,holo,203,Erika’s Invitation,holo,name_signature=erika s invitation; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719615,421240,Giovanni's Charisma,161,Giovanni’s Charisma,"normal,reverse_holo",197,Giovanni’s Charisma,holo,204,Giovanni’s Charisma,holo,name_signature=giovanni s charisma; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719616,421241,Daisy's Help,158,Daisy’s Help,"normal,reverse_holo",195,Daisy’s Help,holo,,,,name_signature=daisy s help; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719617,421242,Bill's Transfer,156,Bill’s Transfer,"normal,reverse_holo",194,Bill’s Transfer,holo,,,,name_signature=bill s transfer; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719619,421079,Bulbasaur [Leech Seed | 151],001,Bulbasaur,"normal,reverse_holo",166,Bulbasaur,holo,,,,name_signature=bulbasaur; attack_signature=leech seed; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719620,421081,Ivysaur [Leech Seed | Vine Whip | 151],002,Ivysaur,"normal,reverse_holo",167,Ivysaur,holo,,,,name_signature=ivysaur; attack_signature=leech seed | vine whip; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719621,421083,Charmander [Blazing Destruction | Steady Firebreathing],004,Charmander,"holo,normal,reverse_holo",168,Charmander,holo,,,,name_signature=charmander; attack_signature=blazing destruction | steady firebreathing; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719622,421084,Charmeleon [Combustion | Fire Blast],005,Charmeleon,"holo,normal,reverse_holo",169,Charmeleon,holo,,,,name_signature=charmeleon; attack_signature=combustion | fire blast; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719623,421086,Squirtle [Withdraw | Skull Bash],007,Squirtle,"normal,reverse_holo",170,Squirtle,holo,,,,name_signature=squirtle; attack_signature=withdraw | skull bash; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719624,421087,Wartortle [Free Diving | Spinning Attack],008,Wartortle,"normal,reverse_holo",171,Wartortle,holo,,,,name_signature=wartortle; attack_signature=free diving | spinning attack; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719625,421089,Caterpie [Leaf Munch],010,Caterpie,"normal,reverse_holo",172,Caterpie,holo,,,,name_signature=caterpie; attack_signature=leaf munch; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719626,421104,Pikachu [Charge | Pika Punch],025,Pikachu,"normal,reverse_holo",173,Pikachu,holo,,,,name_signature=pikachu; attack_signature=charge | pika punch; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719627,421113,Nidoking [Enthusiastic King | Venom Impact],034,Nidoking,"holo,reverse_holo",174,Nidoking,holo,,,,name_signature=nidoking; attack_signature=enthusiastic king | venom impact; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
719628,421133,Psyduck [Overthinking | Water Gun],054,Psyduck,"normal,reverse_holo",175,Psyduck,holo,,,,name_signature=psyduck; attack_signature=overthinking | water gun; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,Compare exact numbered artwork and Cardmarket commercial distinction manually.,False
