idProduct,idMetacard,product_name,matched_collector_number,matched_canonical_id,matched_card_name,numbered_identity_status,finish_scope,compatible_finishes,finish_mapping_status,mapping_status,mapping_confidence,mapping_method,mapping_evidence,notes,authoritative_mapping_would_apply
719487,421124,Vileplume [Fully Blooming Energy | Solar Beam],045,23400,Vileplume,EXACT,multiple,"[""holo"",""reverse_holo""]",SUPPORTED,EXACT,MEDIUM,revalidated_unique_number_candidate,name_signature=vileplume; attack_signature=fully blooming energy | solar beam; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,True
719488,421125,Paras [Stampede | Spore Ball],046,23401,Paras,EXACT,multiple,"[""normal"",""reverse_holo""]",SUPPORTED,EXACT,HIGH,revalidated_unique_number_candidate,name_signature=paras; attack_signature=stampede | spore ball; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,True
719489,421126,Parasect [Spread Filaments | Claw Slash],047,23402,Parasect,EXACT,multiple,"[""normal"",""reverse_holo""]",SUPPORTED,EXACT,HIGH,revalidated_unique_number_candidate,name_signature=parasect; attack_signature=spread filaments | claw slash; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,True
719490,421127,Venonat [Gnaw | Beam],048,23403,Venonat,EXACT,multiple,"[""normal"",""reverse_holo""]",SUPPORTED,EXACT,HIGH,revalidated_unique_number_candidate,name_signature=venonat; attack_signature=gnaw | beam; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,True
719491,421128,Venomoth [Perplexing Powder | Speed Wing],049,23404,Venomoth,EXACT,multiple,"[""normal"",""reverse_holo""]",SUPPORTED,EXACT,HIGH,revalidated_unique_number_candidate,name_signature=venomoth; attack_signature=perplexing powder | speed wing; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,True
719492,421129,Diglett [Headbutt Bounce | Mud-Slap],050,23405,Diglett,EXACT,multiple,"[""normal"",""reverse_holo""]",SUPPORTED,EXACT,HIGH,revalidated_unique_number_candidate,name_signature=diglett; attack_signature=headbutt bounce | mud slap; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,True
719493,421130,Dugtrio [Headbutt Bounce | Mud Bomb],051,23406,Dugtrio,EXACT,multiple,"[""normal"",""reverse_holo""]",SUPPORTED,EXACT,HIGH,revalidated_unique_number_candidate,name_signature=dugtrio; attack_signature=headbutt bounce | mud bomb; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,True
719494,421131,Meowth [Come Here Right Meow | Dig Claws],052,23407,Meowth,EXACT,multiple,"[""normal"",""reverse_holo""]",SUPPORTED,EXACT,HIGH,revalidated_unique_number_candidate,name_signature=meowth; attack_signature=come here right meow | dig claws; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,True
719495,421132,Persian [Rocket Call | Slash],053,23408,Persian,EXACT,multiple,"[""normal"",""reverse_holo""]",SUPPORTED,EXACT,MEDIUM,revalidated_unique_number_candidate,name_signature=persian; attack_signature=rocket call | slash; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,True
719496,421133,Psyduck [Overthinking | Water Gun],,,,AMBIGUOUS,unknown,[],UNKNOWN,AMBIGUOUS,LOW,retained_ambiguous_candidate_set,name_signature=psyduck; attack_signature=overthinking | water gun; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,False
719497,421134,Golduck [Aquatic Rescue | Super Splash],055,23410,Golduck,EXACT,multiple,"[""normal"",""reverse_holo""]",SUPPORTED,EXACT,HIGH,revalidated_unique_number_candidate,name_signature=golduck; attack_signature=aquatic rescue | super splash; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,True
719498,421135,Mankey [Thrash],056,23411,Mankey,EXACT,multiple,"[""normal"",""reverse_holo""]",SUPPORTED,EXACT,HIGH,revalidated_unique_number_candidate,name_signature=mankey; attack_signature=thrash; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,True
719499,421136,Primeape [Rant and Rave | Raging Smash],057,23412,Primeape,EXACT,multiple,"[""normal"",""reverse_holo""]",SUPPORTED,EXACT,HIGH,revalidated_unique_number_candidate,name_signature=primeape; attack_signature=rant and rave | raging smash; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,True
719500,421137,Growlithe [Vaporize],058,23413,Growlithe,EXACT,multiple,"[""normal"",""reverse_holo""]",SUPPORTED,EXACT,HIGH,revalidated_unique_number_candidate,name_signature=growlithe; attack_signature=vaporize; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,True
719501,421138,Arcanine [Torrid Torrent | Dynamite Fang],059,23414,Arcanine,EXACT,multiple,"[""normal"",""reverse_holo""]",SUPPORTED,EXACT,HIGH,revalidated_unique_number_candidate,name_signature=arcanine; attack_signature=torrid torrent | dynamite fang; no_direct_external_id_match; unique candidate revalidated against local official catalog name/attack metadata,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,True
