canonical_id,game,set,collector_number,card_name,rarity,category,artist,image_status,metadata_status,physical_printing_count
23530,pokemon,mew,175,Psyduck,Illustration rare,Pokemon,Whisker,resolved,complete,1
23531,pokemon,mew,176,Poliwhirl,Illustration rare,Pokemon,Gemi,resolved,complete,1
23532,pokemon,mew,177,Machoke,Illustration rare,Pokemon,Tetsu Kayama,resolved,complete,1
23533,pokemon,mew,178,Tangela,Illustration rare,Pokemon,Oswaldo KATO,resolved,complete,1
23534,pokemon,mew,179,Mr. Mime,Illustration rare,Pokemon,OKACHEKE,resolved,complete,1
23535,pokemon,mew,180,Omanyte,Illustration rare,Pokemon,Yano Keiji,resolved,complete,1
23536,pokemon,mew,181,Dragonair,Illustration rare,Pokemon,rika,resolved,complete,1
23537,pokemon,mew,182,Venusaur ex,Ultra Rare,Pokemon,PLANETA Yamashita,resolved,complete,1
23538,pokemon,mew,183,Charizard ex,Ultra Rare,Pokemon,PLANETA Mochizuki,resolved,complete,1
23539,pokemon,mew,184,Blastoise ex,Ultra Rare,Pokemon,PLANETA Yamashita,resolved,complete,1
23540,pokemon,mew,185,Arbok ex,Ultra Rare,Pokemon,Eske Yoshinob,resolved,complete,1
23541,pokemon,mew,186,Ninetales ex,Ultra Rare,Pokemon,PLANETA Tsuji,resolved,complete,1
23542,pokemon,mew,187,Wigglytuff ex,Ultra Rare,Pokemon,Saki Hayashiro,resolved,complete,1
23543,pokemon,mew,188,Alakazam ex,Ultra Rare,Pokemon,PLANETA Tsuji,resolved,complete,1
23544,pokemon,mew,189,Golem ex,Ultra Rare,Pokemon,PLANETA Igarashi,resolved,complete,1
23545,pokemon,mew,190,Kangaskhan ex,Ultra Rare,Pokemon,N-DESIGN Inc.,resolved,complete,1
23546,pokemon,mew,191,Jynx ex,Ultra Rare,Pokemon,Ayaka Yoshida,resolved,complete,1
23547,pokemon,mew,192,Zapdos ex,Ultra Rare,Pokemon,takuyoa,resolved,complete,1
23548,pokemon,mew,193,Mew ex,Ultra Rare,Pokemon,aky CG Works,resolved,complete,1
23549,pokemon,mew,194,Bill’s Transfer,Ultra Rare,Trainer,GIDORA,resolved,complete,1
23550,pokemon,mew,195,Daisy’s Help,Ultra Rare,Trainer,Fumie Kittaka,resolved,complete,1
23551,pokemon,mew,196,Erika’s Invitation,Ultra Rare,Trainer,saino misaki,resolved,complete,1
23552,pokemon,mew,197,Giovanni’s Charisma,Ultra Rare,Trainer,hncl,resolved,complete,1
23553,pokemon,mew,198,Venusaur ex,Special illustration rare,Pokemon,Yoriyuki Ikegami,resolved,complete,1
23554,pokemon,mew,199,Charizard ex,Special illustration rare,Pokemon,miki kudo,resolved,complete,1
23555,pokemon,mew,200,Blastoise ex,Special illustration rare,Pokemon,Mitsuhiro Arita,resolved,complete,1
23556,pokemon,mew,201,Alakazam ex,Special illustration rare,Pokemon,Shinya Komatsu,resolved,complete,1
23557,pokemon,mew,202,Zapdos ex,Special illustration rare,Pokemon,Shiburingaru,resolved,complete,1
23558,pokemon,mew,203,Erika’s Invitation,Special illustration rare,Trainer,Cona Nitanda,resolved,complete,1
23559,pokemon,mew,204,Giovanni’s Charisma,Special illustration rare,Trainer,Hideki Ishikawa,resolved,complete,1
23560,pokemon,mew,205,Mew ex,Hyper rare,Pokemon,aky CG Works,resolved,complete,1
23561,pokemon,mew,206,Switch,Hyper rare,Trainer,Studio Bora Inc.,resolved,complete,1
23562,pokemon,mew,207,Basic Energy,Hyper rare,Energy,,resolved,complete,1
