canonical_id,physical_card_id,collector_number,card_name,finish,treatment,variant_status,evidence,source
23402,25254,047,Parasect,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733642; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23403,25255,048,Venonat,normal,,CONFIRMED,Cardmarket candidate ids=733643; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23403,25256,048,Venonat,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733643; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23404,25257,049,Venomoth,normal,,CONFIRMED,Cardmarket candidate ids=733644; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23404,25258,049,Venomoth,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733644; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23405,25259,050,Diglett,normal,,CONFIRMED,Cardmarket candidate ids=733645; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23405,25260,050,Diglett,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733645; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23406,25261,051,Dugtrio,normal,,CONFIRMED,Cardmarket candidate ids=733646; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23406,25262,051,Dugtrio,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733646; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23407,25263,052,Meowth,normal,,CONFIRMED,Cardmarket candidate ids=733647; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23407,25264,052,Meowth,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733647; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23408,25265,053,Persian,normal,,CONFIRMED,Cardmarket candidate ids=733648; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23408,25266,053,Persian,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733648; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23409,25267,054,Psyduck,normal,,CONFIRMED,Cardmarket candidate ids=733649; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23409,25268,054,Psyduck,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733649; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23410,25269,055,Golduck,normal,,CONFIRMED,Cardmarket candidate ids=733650; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23410,25270,055,Golduck,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733650; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23411,25271,056,Mankey,normal,,CONFIRMED,Cardmarket candidate ids=733651; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
23411,25272,056,Mankey,reverse_holo,,CONFIRMED,Cardmarket candidate ids=733651; local_target_ids=none; finish is separate from rarity.,tcgdex.variants + tcgdex.variants_detailed
