collector_number,card_name,api_card_id,api_identity_status,normal_exists,holo_exists,reverse_exists,normal_usable,holo_usable,reverse_usable,cardmarket_low,cardmarket_reverse_low,cardmarket_trend,cardmarket_reverse_trend,cardmarket_avg1,cardmarket_reverse_avg1,cardmarket_avg7,cardmarket_reverse_avg7,cardmarket_avg30,cardmarket_reverse_avg30,cardmarket_reverse_fields_present,cardmarket_reverse_low_available,tcgplayer_normal_low,tcgplayer_normal_market,tcgplayer_holo_low,tcgplayer_holo_market,tcgplayer_reverse_low,tcgplayer_reverse_market,tcgplayer_updated_at,cardmarket_updated_at,cardmarket_currency,tcgplayer_currency,identity_note
038,Ninetales ex,sv3pt5-38,EXACT,False,True,False,False,True,False,0.4,0.0,1.5,0.0,1.57,0.0,1.41,0.0,1.49,0.0,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",False,,,1.0,2.23,,,2026/09/01,2026/02/04,EUR,USD,set + collector number + name match
039,Jigglypuff,sv3pt5-39,EXACT,True,False,True,True,False,True,0.02,0.02,0.03,0.21,0.05,0.15,0.04,0.22,0.04,0.2,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.17,,,0.1,0.32,2026/09/01,2026/02/22,EUR,USD,set + collector number + name match
040,Wigglytuff ex,sv3pt5-40,EXACT,False,True,False,False,True,False,0.25,0.0,1.16,0.0,1.02,0.0,1.08,0.0,1.24,0.0,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",False,,,0.3,1.43,,,2026/09/01,2026/02/22,EUR,USD,set + collector number + name match
041,Zubat,sv3pt5-41,EXACT,True,False,True,True,False,True,0.02,0.02,0.04,0.22,0.07,0.17,0.04,0.19,0.04,0.18,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.11,,,0.1,0.26,2026/09/01,2026/02/22,EUR,USD,set + collector number + name match
042,Golbat,sv3pt5-42,EXACT,True,False,True,True,False,True,0.02,0.02,0.06,0.19,0.04,0.13,0.05,0.2,0.06,0.18,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.09,,,0.09,0.31,2026/09/01,2026/02/04,EUR,USD,set + collector number + name match
043,Oddish,sv3pt5-43,EXACT,True,False,True,True,False,True,0.02,0.02,0.04,0.19,0.05,0.22,0.04,0.21,0.04,0.17,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.17,,,0.05,0.26,2026/09/01,2026/02/22,EUR,USD,set + collector number + name match
044,Gloom,sv3pt5-44,EXACT,True,False,True,True,False,True,0.02,0.02,0.07,0.22,0.02,0.2,0.06,0.23,0.06,0.23,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.2,,,0.07,0.27,2026/09/01,2026/06/11,EUR,USD,set + collector number + name match
045,Vileplume,sv3pt5-45,EXACT,False,True,True,False,True,True,0.02,0.1,0.22,1.17,0.17,1.06,0.14,1.53,0.18,1.48,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,,,0.03,0.26,0.48,0.83,2026/09/01,2026/06/11,EUR,USD,set + collector number + name match
046,Paras,sv3pt5-46,EXACT,True,False,True,True,False,True,0.02,0.02,0.05,0.19,0.03,0.14,0.04,0.21,0.04,0.2,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.15,,,0.05,0.25,2026/09/01,2026/06/11,EUR,USD,set + collector number + name match
047,Parasect,sv3pt5-47,EXACT,True,False,True,True,False,True,0.02,0.02,0.05,0.23,0.07,0.2,0.06,0.22,0.06,0.19,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.2,,,0.07,0.29,2026/09/01,2026/05/07,EUR,USD,set + collector number + name match
048,Venonat,sv3pt5-48,EXACT,True,False,True,True,False,True,0.02,0.02,0.03,0.15,0.04,0.14,0.04,0.17,0.05,0.18,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.18,,,0.07,0.22,2026/09/01,2026/02/04,EUR,USD,set + collector number + name match
049,Venomoth,sv3pt5-49,EXACT,True,False,True,True,False,True,0.02,0.02,0.06,0.16,0.06,0.15,0.06,0.14,0.05,0.17,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.04,0.17,,,0.1,0.32,2026/09/01,2026/02/22,EUR,USD,set + collector number + name match
050,Diglett,sv3pt5-50,EXACT,True,False,True,True,False,True,0.02,0.02,0.04,0.24,0.06,0.18,0.04,0.24,0.05,0.19,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.14,,,0.01,0.26,2026/09/01,2026/05/07,EUR,USD,set + collector number + name match
051,Dugtrio,sv3pt5-51,EXACT,True,False,True,True,False,True,0.02,0.02,0.05,0.19,0.02,0.14,0.06,0.21,0.06,0.22,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.12,,,0.01,0.23,2026/09/01,2026/06/11,EUR,USD,set + collector number + name match
052,Meowth,sv3pt5-52,EXACT,True,False,True,True,False,True,0.02,0.02,0.06,0.2,0.09,0.12,0.05,0.2,0.05,0.2,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.03,0.19,,,0.09,0.25,2026/09/01,2026/02/04,EUR,USD,set + collector number + name match
053,Persian,sv3pt5-53,EXACT,True,False,True,True,False,True,0.02,0.02,0.05,0.14,0.04,0.06,0.05,0.13,0.05,0.17,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.15,,,0.08,0.26,2026/09/01,2026/02/04,EUR,USD,set + collector number + name match
054,Psyduck,sv3pt5-54,EXACT,True,False,True,True,False,True,0.02,0.02,0.07,0.21,0.08,0.26,0.06,0.22,0.07,0.24,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.03,0.27,,,0.15,0.88,2026/09/01,2026/02/04,EUR,USD,set + collector number + name match
055,Golduck,sv3pt5-55,EXACT,True,False,True,True,False,True,0.02,0.02,0.05,0.23,0.02,0.28,0.06,0.22,0.05,0.2,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.16,,,0.06,0.28,2026/09/01,2026/01/16,EUR,USD,set + collector number + name match
056,Mankey,sv3pt5-56,EXACT,True,False,True,True,False,True,0.02,0.02,0.05,0.19,0.08,0.19,0.05,0.17,0.04,0.19,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.14,,,0.08,0.25,2026/09/01,2026/01/19,EUR,USD,set + collector number + name match
057,Primeape,sv3pt5-57,EXACT,True,False,True,True,False,True,0.02,0.02,0.06,0.21,0.05,0.19,0.06,0.2,0.05,0.2,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.16,,,0.05,0.27,2026/09/01,2026/01/16,EUR,USD,set + collector number + name match
058,Growlithe,sv3pt5-58,EXACT,True,False,True,True,False,True,0.02,0.02,0.05,0.26,0.07,0.18,0.04,0.23,0.04,0.22,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.17,,,0.1,0.3,2026/09/01,2026/01/19,EUR,USD,set + collector number + name match
059,Arcanine,sv3pt5-59,EXACT,True,False,True,True,False,True,0.02,0.02,0.06,0.2,0.04,0.2,0.05,0.22,0.06,0.25,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.04,0.25,,,0.12,0.36,2026/09/01,2026/02/04,EUR,USD,set + collector number + name match
060,Poliwag,sv3pt5-60,EXACT,True,False,True,True,False,True,0.02,0.02,0.04,0.16,0.06,0.17,0.04,0.18,0.04,0.16,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.11,,,0.1,0.28,2026/09/01,2026/02/04,EUR,USD,set + collector number + name match
061,Poliwhirl,sv3pt5-61,EXACT,True,False,True,True,False,True,0.02,0.05,0.15,1.88,0.07,2.06,0.15,1.98,0.12,1.95,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.04,0.25,,,1.0,3.85,2026/09/01,2026/02/04,EUR,USD,set + collector number + name match
062,Poliwrath,sv3pt5-62,EXACT,True,False,True,True,False,True,0.02,0.02,0.07,0.25,0.07,0.17,0.06,0.23,0.06,0.21,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.18,,,0.1,0.29,2026/09/01,2026/01/16,EUR,USD,set + collector number + name match
063,Abra,sv3pt5-63,EXACT,True,False,True,True,False,True,0.02,0.02,0.07,0.21,0.03,0.17,0.04,0.17,0.05,0.19,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.17,,,0.01,0.3,2026/09/01,2026/01/19,EUR,USD,set + collector number + name match
064,Kadabra,sv3pt5-64,EXACT,True,False,True,True,False,True,0.02,0.0,0.25,0.0,0.29,0.0,0.28,0.0,0.3,0.0,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",False,0.03,0.24,,,0.07,0.27,2026/09/01,2026/01/19,EUR,USD,set + collector number + name match
065,Alakazam ex,sv3pt5-65,EXACT,False,True,False,False,True,False,0.43,0.0,2.18,0.0,2.71,0.0,1.8,0.0,1.95,0.0,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",False,,,0.75,2.39,,,2026/09/01,2026/01/16,EUR,USD,set + collector number + name match
066,Machop,sv3pt5-66,EXACT,True,False,True,True,False,True,0.02,0.02,0.04,0.21,0.05,0.16,0.05,0.17,0.05,0.21,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.2,,,0.07,0.32,2026/09/01,2026/01/19,EUR,USD,set + collector number + name match
067,Machoke,sv3pt5-67,EXACT,True,False,True,True,False,True,0.02,0.02,0.05,0.22,0.08,0.23,0.06,0.18,0.06,0.2,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.21,,,0.05,0.32,2026/09/01,2026/01/19,EUR,USD,set + collector number + name match
068,Machamp,sv3pt5-68,EXACT,False,True,True,False,True,True,0.02,0.1,0.22,1.17,0.13,1.37,0.21,1.27,0.21,1.14,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,,,0.07,0.27,0.55,0.9,2026/09/01,2026/01/19,EUR,USD,set + collector number + name match
069,Bellsprout,sv3pt5-69,EXACT,True,False,True,True,False,True,0.02,0.02,0.04,0.22,0.04,0.49,0.04,0.22,0.05,0.2,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.15,,,0.05,0.3,2026/09/01,2026/01/19,EUR,USD,set + collector number + name match
070,Weepinbell,sv3pt5-70,EXACT,True,False,True,True,False,True,0.02,0.5,0.09,1.97,0.13,1.7,0.1,1.95,0.09,1.98,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.17,,,1.24,1.59,2026/09/01,2026/01/19,EUR,USD,set + collector number + name match
071,Victreebel,sv3pt5-71,EXACT,True,False,True,True,False,True,0.02,0.02,0.07,0.17,0.04,0.12,0.06,0.18,0.06,0.19,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.03,0.17,,,0.1,0.26,2026/09/01,2026/02/04,EUR,USD,set + collector number + name match
072,Tentacool,sv3pt5-72,EXACT,True,False,True,True,False,True,0.02,0.02,0.05,0.19,0.09,0.09,0.04,0.17,0.04,0.19,"[""reverseHoloLow"",""reverseHoloTrend"",""reverseHoloAvg1"",""reverseHoloAvg7"",""reverseHoloAvg30""]",True,0.01,0.16,,,0.05,0.27,2026/09/01,2026/01/19,EUR,USD,set + collector number + name match
