collector_number,card_name,tcgdex_card_id,tcgdex_identity_status,normal_exists,holo_exists,reverse_exists,normal_usable,holo_usable,reverse_usable,normal_product_ids,holo_product_ids,reverse_product_ids,cardmarket_variant_product_ids,updated_at,cardmarket_currency,tcgplayer_currency,identity_note
123,Scyther,sv03.5-123,EXACT,True,False,True,True,False,True,[516686],[],[516686],"{""holo"":[],""normal"":[733718],""reverse_holo"":[733718]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
124,Jynx ex,sv03.5-124,EXACT,False,True,False,False,True,False,[],[516687],[],"{""holo"":[733719],""normal"":[],""reverse_holo"":[]}",2026-06-09T12:54:48+01:00,EUR,USD,set + collector number + name match
125,Electabuzz,sv03.5-125,EXACT,True,False,True,True,False,True,[516688],[],[516688],"{""holo"":[],""normal"":[733720],""reverse_holo"":[733720]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
126,Magmar,sv03.5-126,EXACT,True,False,True,True,False,True,[516689],[],[516689],"{""holo"":[],""normal"":[733721],""reverse_holo"":[733721]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
127,Pinsir,sv03.5-127,EXACT,True,False,True,True,False,True,[516690],[],[516690],"{""holo"":[],""normal"":[733722],""reverse_holo"":[733722]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
128,Tauros,sv03.5-128,EXACT,True,False,True,True,False,True,[516691],[],[516691],"{""holo"":[],""normal"":[733723],""reverse_holo"":[733723]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
129,Magikarp,sv03.5-129,EXACT,True,False,True,True,False,True,[516692],[],[516692],"{""holo"":[],""normal"":[733724],""reverse_holo"":[733724]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
130,Gyarados,sv03.5-130,EXACT,False,True,True,False,True,True,[],[516693],[516693],"{""holo"":[733725],""normal"":[],""reverse_holo"":[733725]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
131,Lapras,sv03.5-131,EXACT,True,False,True,True,False,True,[516694],[],[516694],"{""holo"":[],""normal"":[733726],""reverse_holo"":[733726]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
132,Ditto,sv03.5-132,EXACT,False,True,True,False,True,True,[],[516695],[516695],"{""holo"":[733727],""normal"":[],""reverse_holo"":[733727]}",2026-08-14T19:11:56+01:00,EUR,USD,set + collector number + name match
